full_name,biobank_samples,class
Walvisteuthis virilis,1,Cephalopoda
Westwoodilla,2,Malacostraca
Xanthandrus comtus,1,Insecta
Xanthia icteritia,2,Insecta
Xanthia togata,2,Insecta
Xerus rutilus,1,Mammalia
Xestia agathina,5,Insecta
Xestia ashworthii,1,Insecta
Xestia baja,1,Insecta
Xestia c-nigrum,1,Insecta
Xestia sexstrigata,1,Insecta
Xyleborus monographus,1,Insecta
Xylocampa areola,1,Insecta
Xylocoris cursitans,1,Insecta
Xysticus cristatus,2,Arachnida
Yponomeuta plumbella,1,Insecta
Yponomeuta sedella,1,Insecta
Ypsolopha parenthesella,4,Insecta
Zaglossus bartoni -,1,Mammalia
Zalophus californianus -,6,Mammalia
Zelotes latreillei,1,Arachnida
Zenaida auriculata,5,Aves
Zenaida graysoni -,3,Aves
Zilla diodia,1,Arachnida
Ziphius cavirostris -,1,Mammalia
Zoogonidae,2,Trematoda
Zoogonoides,2,Trematoda
Zophomyia temula,1,Insecta
Zoropsis spinimana,2,Arachnida
Zygaena filipendulae anglicola,1,Insecta
Zygiella x-notata,2,Arachnida
Zyginidia scutellaris,4,Insecta
antiopella cristata,2,Gastropoda
�Tragulus javanicus -,4,Mammalia
