full_name,biobank_samples,class
Cercocebus lunulatus -,1,Mammalia
Cercopithecus ascanius schmidti,5,Mammalia
Cercopithecus campbelli -,1,Mammalia
Cercopithecus diana -,4,Mammalia
Cercopithecus diana diana,3,Mammalia
Cercopithecus hamlyni -,2,Mammalia
Cercopithecus hamlyni hamlyni,3,Mammalia
Cercopithecus kandti,4,Mammalia
Cercopithecus mitis -,2,Mammalia
Cercopithecus neglectus,2,Mammalia
Cercopithecus neglectus -,6,Mammalia
Cercopithecus pygerythrus -,1,Mammalia
Cereopsis novaehollandiae -,1,Aves
Cerianthus lloydii,2,Anthozoa
Cernuella virgata,3,Gastropoda
Cervus elaphus -,6,Mammalia
Cervus elaphus bactrianus,18,Mammalia
Cervus nippon nippon,2,Mammalia
Cerylon ferrugineum,1,Insecta
Cerylon histeroides,1,Insecta
Cetonia aurata,1,Insecta
Ceutorhynchus obstrictus,1,Insecta
Chaetocnema concinna,1,Insecta
Chaetocnema hortensis,1,Insecta
Chaetoderma nitidulum,1,Caudofoveata
Chaetophractus villosus -,2,Mammalia
Chaetopteryx villosa,1,Insecta
Chaetozone zetlandica,1,Polychaeta
Chalcides chalcides,4,Reptilia
Chalcolestes viridis,4,Insecta
Chamaeleo calyptratus,15,Reptilia
Chamaeleo melleri -,2,Reptilia
Chaoborus,1,Insecta
Chaoborus crystallinus,2,Insecta
Charadrius hiaticula -,4,Aves
Charmon cruentatus,4,Insecta
Charmosyna papou goliathina,2,Aves
Chartoscirta cincta,1,Insecta
Chauliodus sloani,14,Actinopterygii
Cheilosia variabilis,1,Insecta
Cheirogaleus medius -,5,Mammalia
Chesias legatella,1,Insecta
Chilocorus bipustulatus,1,Insecta
Chilocorus renipustulatus,2,Insecta
Chionis alba -,1,Aves
Chionomys nivalis,16,Mammalia
Chiropotes chiropotes sagulatus,4,Mammalia
Chiroteuthis joubini,3,Cephalopoda
Chlamydotis macqueeni -,1,Aves
Chloephaga rubidiceps -,1,Aves
Chloris chloris -,10,Aves
Chlorocebus aethiops,5,Mammalia
Chlorocebus aethiops -,2,Mammalia
Chloromyia formosa,1,Insecta
Chloroperla tripunctata,2,Insecta
Choeropsis liberiensis,4,Mammalia
Choeropsis liberiensis liberiensis,6,Mammalia
Choloepus didactylus,18,Mammalia
Choloepus didactylus -,4,Mammalia
Choneiulus crassicornis,1,Diplopoda
Choneiulus palmatus,6,Diplopoda
Choneiulus pyralina,1,Diplopoda
Choreutis nemorana,2,Insecta
Chorthippus albomarginatus albomarginatus,1,Insecta
Chortodes pygmina,2,Insecta
Chroicocephalus ridibundus -,10,Aves
Chroicocephalus� novaehollandiae -,3,Aves
Chrotogale owstoni -,5,Mammalia
Chrysis angustula,1,Insecta
Chrysochloris asiatica,3,Mammalia
Chrysocyon brachyurus -,15,Mammalia
Chrysolina americana,1,Insecta
Chrysolina graminis,4,Insecta
Chrysolina oricalcia,1,Insecta
Chrysolina staphylaea,1,Insecta
Chrysopilus cristatus,1,Insecta
Chrysotoxum bicinctum,3,Insecta
Cicadella viridis,1,Insecta
Ciconia abdimi -,1,Aves
Ciconia ciconia -,9,Aves
Ciconia nigra -,3,Aves
Ciona intestinalis,3,Ascidiacea
Cionus scrophulariae,1,Insecta
Circus cyaneus -,1,Aves
Cirrhia icteritia,1,Insecta
Cirriformia tentaculata,1,Polychaeta
Cirripedia,2,Cirripedia
Cixius nervosus,1,Insecta
Cladius pectinicornis,1,Insecta
Clangula hyemalis -,1,Aves
Cleigastra apicalis,1,Insecta
Clepsis dumicolana,2,Insecta
Clistopyga incitator,1,Insecta
Clitellata,6,Clitellata
Clivina fossor,1,Insecta
Clogmia albipunctata,1,Insecta
Closterotomus trivialis,1,Insecta
Clubiona corticalis,1,Arachnida
Clubiona terrestris,1,Arachnida
Cnaemidophorus rhododactyla,1,Insecta
Coccinella hieroglyphica,1,Insecta
Coccinella septempunctata,3,Insecta
Coccyzus americanus -,1,Aves
Cochlodina laminata,2,Gastropoda
Cochylimorpha straminea,1,Insecta
Coelopa frigida,1,Insecta
Coelotes atropos,1,Arachnida
Coelotes terrestris,1,Arachnida
Coenagrion puella,1,Insecta
Coleonyx elegans,13,Reptilia
Coleonyx mitratus,2,Reptilia
Coleonyx variegatus,2,Reptilia
Coleophora lineolea,1,Insecta
Colobus - -,1,Mammalia
Colobus guereza -,1,Mammalia
Colobus guereza caudatus,4,Mammalia
Colobus guereza kikuyuensis,10,Mammalia
Colobus guereza occidentalis,2,Mammalia
Colobus polykomos -,3,Mammalia
Colobus polykomus polykomus,1,Mammalia
Coloconger cadenati,1,Actinopterygii
Columba palumbus -,5,Aves
Colymbetes fuscus,1,Insecta
Conistra rubiginea,1,Insecta
Conistra vaccinii,1,Insecta
Conocephalus fuscus fuscus,4,Insecta
Contarinia quinquenotata,5,Insecta
Conwentzia pineticola,1,Insecta
Conwentzia psociformis,1,Insecta
Coracias garrulus -,1,Aves
Coragyps atratus -,1,Aves
Corbula gibba,1,Bivalvia
Cordulegaster boltonii,2,Insecta
Cordylepherus viridis,1,Insecta
Coremacera marginata marginata,1,Insecta
Coreus marginatus,3,Insecta
Cornu aspersum,3,Gastropoda
Corophium volutator,6,Malacostraca
Cortinicara gibbosa,1,Insecta
Corvus corax -,6,Aves
Corvus corone -,4,Aves
Corvus monedula -,1,Aves
Corvus moneduloides -,1,Aves
Coscoroba coscoroba -,1,Aves
Cosmopterix pulchrimella,2,Insecta
Crabro cribrarius,1,Insecta
Cranchiidae,1,Cephalopoda
Crangon crangon,1,Malacostraca
Crateromys heaneyi -,7,Mammalia
Cratichneumon flavifrons,1,Insecta
Cratichneumon versator,1,Insecta
Crax fasciolata -,1,Aves
Crepidodera aurata,1,Insecta
Crepidodera aurea,1,Insecta
Crepidodera fulvicornis,1,Insecta
Crex crex -,5,Aves
Cricetomys gambianus,4,Mammalia
Cricetomys gambianus -,2,Mammalia
Cricetulus griseus,14,Mammalia
Cricetulus migratorius,6,Mammalia
Cricetus cricetus -,2,Mammalia
Crioceris asparagi,1,Insecta
Crocidosema plebejana,1,Insecta
Crocidura sibirica,2,Mammalia
Crocodylus niloticus,38,Reptilia
Crossaster papposus,1,Asteroidea
Crossoptilon auritum -,1,Aves
Crossoptilon crossoptilon drouyni,2,Aves
Cryptocephalus fulvus,1,Insecta
